"date","region","province","cases"
2020-02-19,"Region 1","Qom",2
2020-02-19,"Region 1","Teh",0
2020-02-19,"Region 1","Maz",0
2020-02-19,"Region 1","Alb",0
2020-02-19,"Region 1","Sem",0
2020-02-19,"Region 1","Gol",0
2020-02-19,"Region 1","Qaz",0
2020-02-19,"Region 2","Esf",0
2020-02-19,"Region 2","Frs",0
2020-02-19,"Region 2","Hor",0
2020-02-19,"Region 2","Koh",0
2020-02-19,"Region 2","Cha",0
2020-02-19,"Region 2","Bus",0
2020-02-19,"Region 3","Gil",0
2020-02-19,"Region 3","Ard",0
2020-02-19,"Region 3","Azs",0
2020-02-19,"Region 3","Azg",0
2020-02-19,"Region 3","Kur",0
2020-02-19,"Region 3","Zan",0
2020-02-19,"Region 4","Mar",0
2020-02-19,"Region 4","Ham",0
2020-02-19,"Region 4","Khz",0
2020-02-19,"Region 4","Krs",0
2020-02-19,"Region 4","Lor",0
2020-02-19,"Region 4","Ilm",0
2020-02-19,"Region 5","Khr",0
2020-02-19,"Region 5","Sis",0
2020-02-19,"Region 5","Yaz",0
2020-02-19,"Region 5","Khs",0
2020-02-19,"Region 5","Ker",0
2020-02-19,"Region 5","Khn",0
2020-02-20,"Region 1","Qom",2
2020-02-20,"Region 1","Teh",0
2020-02-20,"Region 1","Maz",0
2020-02-20,"Region 1","Alb",0
2020-02-20,"Region 1","Sem",0
2020-02-20,"Region 1","Gol",0
2020-02-20,"Region 1","Qaz",0
2020-02-20,"Region 2","Esf",0
2020-02-20,"Region 2","Frs",0
2020-02-20,"Region 2","Hor",0
2020-02-20,"Region 2","Koh",0
2020-02-20,"Region 2","Cha",0
2020-02-20,"Region 2","Bus",0
2020-02-20,"Region 3","Gil",0
2020-02-20,"Region 3","Ard",0
2020-02-20,"Region 3","Azs",0
2020-02-20,"Region 3","Azg",0
2020-02-20,"Region 3","Kur",0
2020-02-20,"Region 3","Zan",0
2020-02-20,"Region 4","Mar",1
2020-02-20,"Region 4","Ham",0
2020-02-20,"Region 4","Khz",0
2020-02-20,"Region 4","Krs",0
2020-02-20,"Region 4","Lor",0
2020-02-20,"Region 4","Ilm",0
2020-02-20,"Region 5","Khr",0
2020-02-20,"Region 5","Sis",0
2020-02-20,"Region 5","Yaz",0
2020-02-20,"Region 5","Khs",0
2020-02-20,"Region 5","Ker",0
2020-02-20,"Region 5","Khn",0
2020-02-21,"Region 1","Qom",7
2020-02-21,"Region 1","Teh",4
2020-02-21,"Region 1","Maz",0
2020-02-21,"Region 1","Alb",0
2020-02-21,"Region 1","Sem",0
2020-02-21,"Region 1","Gol",0
2020-02-21,"Region 1","Qaz",0
2020-02-21,"Region 2","Esf",0
2020-02-21,"Region 2","Frs",0
2020-02-21,"Region 2","Hor",0
2020-02-21,"Region 2","Koh",0
2020-02-21,"Region 2","Cha",0
2020-02-21,"Region 2","Bus",0
2020-02-21,"Region 3","Gil",2
2020-02-21,"Region 3","Ard",0
2020-02-21,"Region 3","Azs",0
2020-02-21,"Region 3","Azg",0
2020-02-21,"Region 3","Kur",0
2020-02-21,"Region 3","Zan",0
2020-02-21,"Region 4","Mar",0
2020-02-21,"Region 4","Ham",0
2020-02-21,"Region 4","Khz",0
2020-02-21,"Region 4","Krs",0
2020-02-21,"Region 4","Lor",0
2020-02-21,"Region 4","Ilm",0
2020-02-21,"Region 5","Khr",0
2020-02-21,"Region 5","Sis",0
2020-02-21,"Region 5","Yaz",0
2020-02-21,"Region 5","Khs",0
2020-02-21,"Region 5","Ker",0
2020-02-21,"Region 5","Khn",0
2020-02-22,"Region 1","Qom",8
2020-02-22,"Region 1","Teh",2
2020-02-22,"Region 1","Maz",0
2020-02-22,"Region 1","Alb",0
2020-02-22,"Region 1","Sem",0
2020-02-22,"Region 1","Gol",0
2020-02-22,"Region 1","Qaz",0
2020-02-22,"Region 2","Esf",0
2020-02-22,"Region 2","Frs",0
2020-02-22,"Region 2","Hor",0
2020-02-22,"Region 2","Koh",0
2020-02-22,"Region 2","Cha",0
2020-02-22,"Region 2","Bus",0
2020-02-22,"Region 3","Gil",0
2020-02-22,"Region 3","Ard",0
2020-02-22,"Region 3","Azs",0
2020-02-22,"Region 3","Azg",0
2020-02-22,"Region 3","Kur",0
2020-02-22,"Region 3","Zan",0
2020-02-22,"Region 4","Mar",0
2020-02-22,"Region 4","Ham",0
2020-02-22,"Region 4","Khz",0
2020-02-22,"Region 4","Krs",0
2020-02-22,"Region 4","Lor",0
2020-02-22,"Region 4","Ilm",0
2020-02-22,"Region 5","Khr",0
2020-02-22,"Region 5","Sis",0
2020-02-22,"Region 5","Yaz",0
2020-02-22,"Region 5","Khs",0
2020-02-22,"Region 5","Ker",0
2020-02-22,"Region 5","Khn",0
2020-02-23,"Region 1","Qom",7
2020-02-23,"Region 1","Teh",4
2020-02-23,"Region 1","Maz",1
2020-02-23,"Region 1","Alb",0
2020-02-23,"Region 1","Sem",0
2020-02-23,"Region 1","Gol",0
2020-02-23,"Region 1","Qaz",0
2020-02-23,"Region 2","Esf",0
2020-02-23,"Region 2","Frs",0
2020-02-23,"Region 2","Hor",0
2020-02-23,"Region 2","Koh",0
2020-02-23,"Region 2","Cha",0
2020-02-23,"Region 2","Bus",0
2020-02-23,"Region 3","Gil",2
2020-02-23,"Region 3","Ard",0
2020-02-23,"Region 3","Azs",0
2020-02-23,"Region 3","Azg",0
2020-02-23,"Region 3","Kur",0
2020-02-23,"Region 3","Zan",0
2020-02-23,"Region 4","Mar",1
2020-02-23,"Region 4","Ham",0
2020-02-23,"Region 4","Khz",0
2020-02-23,"Region 4","Krs",0
2020-02-23,"Region 4","Lor",0
2020-02-23,"Region 4","Ilm",0
2020-02-23,"Region 5","Khr",0
2020-02-23,"Region 5","Sis",0
2020-02-23,"Region 5","Yaz",0
2020-02-23,"Region 5","Khs",0
2020-02-23,"Region 5","Ker",0
2020-02-23,"Region 5","Khn",0
2020-02-24,"Region 1","Qom",8
2020-02-24,"Region 1","Teh",3
2020-02-24,"Region 1","Maz",0
2020-02-24,"Region 1","Alb",0
2020-02-24,"Region 1","Sem",0
2020-02-24,"Region 1","Gol",0
2020-02-24,"Region 1","Qaz",0
2020-02-24,"Region 2","Esf",2
2020-02-24,"Region 2","Frs",0
2020-02-24,"Region 2","Hor",0
2020-02-24,"Region 2","Koh",0
2020-02-24,"Region 2","Cha",0
2020-02-24,"Region 2","Bus",0
2020-02-24,"Region 3","Gil",2
2020-02-24,"Region 3","Ard",0
2020-02-24,"Region 3","Azs",0
2020-02-24,"Region 3","Azg",0
2020-02-24,"Region 3","Kur",0
2020-02-24,"Region 3","Zan",0
2020-02-24,"Region 4","Mar",2
2020-02-24,"Region 4","Ham",1
2020-02-24,"Region 4","Khz",0
2020-02-24,"Region 4","Krs",0
2020-02-24,"Region 4","Lor",0
2020-02-24,"Region 4","Ilm",0
2020-02-24,"Region 5","Khr",0
2020-02-24,"Region 5","Sis",0
2020-02-24,"Region 5","Yaz",0
2020-02-24,"Region 5","Khs",0
2020-02-24,"Region 5","Ker",0
2020-02-24,"Region 5","Khn",0
2020-02-25,"Region 1","Qom",16
2020-02-25,"Region 1","Teh",8
2020-02-25,"Region 1","Maz",2
2020-02-25,"Region 1","Alb",2
2020-02-25,"Region 1","Sem",0
2020-02-25,"Region 1","Gol",0
2020-02-25,"Region 1","Qaz",0
2020-02-25,"Region 2","Esf",0
2020-02-25,"Region 2","Frs",1
2020-02-25,"Region 2","Hor",1
2020-02-25,"Region 2","Koh",0
2020-02-25,"Region 2","Cha",0
2020-02-25,"Region 2","Bus",0
2020-02-25,"Region 3","Gil",2
2020-02-25,"Region 3","Ard",0
2020-02-25,"Region 3","Azs",0
2020-02-25,"Region 3","Azg",0
2020-02-25,"Region 3","Kur",0
2020-02-25,"Region 3","Zan",0
2020-02-25,"Region 4","Mar",0
2020-02-25,"Region 4","Ham",0
2020-02-25,"Region 4","Khz",0
2020-02-25,"Region 4","Krs",0
2020-02-25,"Region 4","Lor",0
2020-02-25,"Region 4","Ilm",0
2020-02-25,"Region 5","Khr",1
2020-02-25,"Region 5","Sis",0
2020-02-25,"Region 5","Yaz",0
2020-02-25,"Region 5","Khs",0
2020-02-25,"Region 5","Ker",0
2020-02-25,"Region 5","Khn",0
2020-02-26,"Region 1","Qom",15
2020-02-26,"Region 1","Teh",4
2020-02-26,"Region 1","Maz",1
2020-02-26,"Region 1","Alb",0
2020-02-26,"Region 1","Sem",1
2020-02-26,"Region 1","Gol",0
2020-02-26,"Region 1","Qaz",0
2020-02-26,"Region 2","Esf",0
2020-02-26,"Region 2","Frs",2
2020-02-26,"Region 2","Hor",1
2020-02-26,"Region 2","Koh",2
2020-02-26,"Region 2","Cha",0
2020-02-26,"Region 2","Bus",0
2020-02-26,"Region 3","Gil",1
2020-02-26,"Region 3","Ard",0
2020-02-26,"Region 3","Azs",0
2020-02-26,"Region 3","Azg",0
2020-02-26,"Region 3","Kur",0
2020-02-26,"Region 3","Zan",0
2020-02-26,"Region 4","Mar",1
2020-02-26,"Region 4","Ham",0
2020-02-26,"Region 4","Khz",3
2020-02-26,"Region 4","Krs",1
2020-02-26,"Region 4","Lor",1
2020-02-26,"Region 4","Ilm",0
2020-02-26,"Region 5","Khr",0
2020-02-26,"Region 5","Sis",2
2020-02-26,"Region 5","Yaz",0
2020-02-26,"Region 5","Khs",0
2020-02-26,"Region 5","Ker",0
2020-02-26,"Region 5","Khn",0
2020-02-27,"Region 1","Qom",7
