"region","province_abb","province"
"Region 1","Alb","Alborz"
"Region 3","Ard","Ardebil"
"Region 2","Bus","Bushehr"
"Region 2","Cha","Chahar Mahall and Bakhtiari"
"Region 3","Azs","East Azarbaijan"
"Region 2","Esf","Esfahan"
"Region 2","Frs","Fars"
"Region 3","Gil","Gilan"
"Region 1","Gol","Golestan"
"Region 4","Ham","Hamadan"
"Region 2","Hor","Hormozgan"
"Region 4","Ilm","Ilam"
"Region 5","Ker","Kerman"
"Region 4","Krs","Kermanshah"
"Region 4","Khz","Khuzestan"
"Region 2","Koh","Kohgiluyeh and Buyer Ahmad"
"Region 3","Kur","Kordestan"
"Region 4","Lor","Lorestan"
"Region 4","Mar","Markazi"
"Region 1","Maz","Mazandaran"
"Region 5","Khn","North Khorasan"
"Region 1","Qaz","Qazvin"
"Region 1","Qom","Qom"
"Region 5","Khr","Razavi Khorasan"
"Region 1","Sem","Semnan"
"Region 5","Sis","Sistan and Baluchestan"
"Region 5","Khs","South Khorasan"
"Region 1","Teh","Tehran"
"Region 3","Azg","West Azarbaijan"
"Region 5","Yaz","Yazd"
"Region 3","Zan","Zanjan"
