"date","region","sub_region","total"
2020-01-31,"South","ABR",0
2020-01-31,"South","BAS",0
2020-01-31,"North-East","BZ",0
2020-01-31,"South","CAL",0
2020-01-31,"South","CAM",0
2020-01-31,"North-East","EMR",0
2020-01-31,"North-East","FVG",0
2020-01-31,"Center","LAZ",2
2020-01-31,"North-West","LIG",0
2020-01-31,"North-West","LOM",0
2020-01-31,"Center","MAR",0
2020-01-31,"South","MOL",0
2020-01-31,"North-West","PIE",0
2020-01-31,"South","PUG",0
2020-01-31,"Islands","SAR",0
2020-01-31,"Islands","SIC",0
2020-01-31,"North-East","TN",0
2020-01-31,"Center","TOS",0
2020-01-31,"Center","UMB",0
2020-01-31,"North-West","VDA",0
2020-01-31,"North-East","VEN",0
2020-02-06,"South","ABR",0
2020-02-06,"South","BAS",0
2020-02-06,"North-East","BZ",0
2020-02-06,"South","CAL",0
2020-02-06,"South","CAM",0
2020-02-06,"North-East","EMR",0
2020-02-06,"North-East","FVG",0
2020-02-06,"Center","LAZ",1
2020-02-06,"North-West","LIG",0
2020-02-06,"North-West","LOM",0
2020-02-06,"Center","MAR",0
2020-02-06,"South","MOL",0
2020-02-06,"North-West","PIE",0
2020-02-06,"South","PUG",0
2020-02-06,"Islands","SAR",0
2020-02-06,"Islands","SIC",0
2020-02-06,"North-East","TN",0
2020-02-06,"Center","TOS",0
2020-02-06,"Center","UMB",0
2020-02-06,"North-West","VDA",0
2020-02-06,"North-East","VEN",0
2020-02-21,"South","ABR",0
2020-02-21,"South","BAS",0
2020-02-21,"North-East","BZ",0
2020-02-21,"South","CAL",0
2020-02-21,"South","CAM",0
2020-02-21,"North-East","EMR",0
2020-02-21,"North-East","FVG",0
2020-02-21,"Center","LAZ",0
2020-02-21,"North-West","LIG",0
2020-02-21,"North-West","LOM",15
2020-02-21,"Center","MAR",0
2020-02-21,"South","MOL",0
2020-02-21,"North-West","PIE",0
2020-02-21,"South","PUG",0
2020-02-21,"Islands","SAR",0
2020-02-21,"Islands","SIC",0
2020-02-21,"North-East","TN",0
2020-02-21,"Center","TOS",0
2020-02-21,"Center","UMB",0
2020-02-21,"North-West","VDA",0
2020-02-21,"North-East","VEN",2
2020-02-22,"South","ABR",0
2020-02-22,"South","BAS",0
2020-02-22,"North-East","BZ",0
2020-02-22,"South","CAL",0
2020-02-22,"South","CAM",0
2020-02-22,"North-East","EMR",2
2020-02-22,"North-East","FVG",0
2020-02-22,"Center","LAZ",0
2020-02-22,"North-West","LIG",0
2020-02-22,"North-West","LOM",40
2020-02-22,"Center","MAR",0
2020-02-22,"South","MOL",0
2020-02-22,"North-West","PIE",1
2020-02-22,"South","PUG",0
2020-02-22,"Islands","SAR",0
2020-02-22,"Islands","SIC",0
2020-02-22,"North-East","TN",0
2020-02-22,"Center","TOS",0
2020-02-22,"Center","UMB",0
2020-02-22,"North-West","VDA",0
2020-02-22,"North-East","VEN",16
2020-02-23,"South","ABR",0
2020-02-23,"South","BAS",0
2020-02-23,"North-East","BZ",0
2020-02-23,"South","CAL",0
2020-02-23,"South","CAM",0
2020-02-23,"North-East","EMR",7
2020-02-23,"North-East","FVG",0
2020-02-23,"Center","LAZ",0
2020-02-23,"North-West","LIG",0
2020-02-23,"North-West","LOM",57
