"date","VDA","LIG","PIE","LOM","VEN","TN","BZ","FVG","EMR","MAR","TOS","UMB","LAZ","ABR","MOL","CAM","BAS","PUG","CAL","SIC","SAR","confirmed_new","confirmed_total","death_new","death_total","recovery_total","tested_total"
2020-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA
2020-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA
2020-02-21,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,20,1,1,NA,NA
2020-02-22,NA,NA,1,40,16,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,79,1,2,NA,NA
2020-02-23,NA,NA,2,57,7,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,150,1,3,NA,NA
2020-02-24,NA,NA,NA,61,7,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,227,4,7,1,NA
2020-02-25,NA,1,NA,67,11,NA,1,NA,8,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,93,320,3,10,1,NA
2020-02-26,NA,10,NA,65,28,NA,NA,NA,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,445,2,12,3,9587
2020-02-27,NA,8,1,98,40,NA,NA,NA,50,2,NA,NA,NA,1,NA,3,NA,1,NA,1,NA,205,650,5,17,45,12014
2020-02-28,NA,NA,9,128,40,NA,NA,NA,48,3,6,NA,NA,NA,NA,1,NA,2,1,NA,NA,238,888,4,21,46,15695
2020-02-29,NA,23,NA,84,40,NA,NA,NA,72,5,3,NA,3,1,NA,9,NA,NA,NA,NA,NA,240,1128,8,29,50,18661
2020-03-01,NA,NA,38,369,72,NA,NA,6,68,14,2,2,NA,3,NA,4,NA,NA,NA,5,NA,566,1694,5,34,83,21127
2020-03-02,NA,NA,2,270,10,NA,NA,3,50,10,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,342,2036,18,52,149,23345
2020-03-03,NA,2,5,266,34,4,NA,4,85,26,6,6,7,1,3,13,1,2,NA,NA,1,466,2502,27,79,160,25856
2020-03-04,NA,2,26,300,53,1,NA,5,124,23,19,1,16,1,NA,1,NA,3,NA,11,1,587,3089,28,107,276,29837
2020-03-05,2,2,26,431,47,2,NA,3,154,40,23,NA,14,1,4,14,NA,5,1,NA,NA,769,3858,41,148,414,32362
2020-03-06,5,4,35,361,81,3,3,10,172,35,18,7,10,1,5,12,2,3,2,6,3,778,4636,49,197,523,36359
2020-03-07,1,19,64,808,55,4,5,11,140,48,34,8,22,2,2,4,NA,9,NA,11,NA,1246,5883,36,233,589,42062
2020-03-08,1,27,153,769,127,9,NA,15,170,65,53,2,11,6,NA,40,1,14,5,18,6,1492,7375,133,366,622,49937
2020-03-09,6,31,NA,1280,74,10,NA,36,206,51,42,2,15,13,NA,19,1,10,2,1,8,1797,9172,97,463,724,53826
2020-03-10,2,32,103,322,112,19,29,23,147,71,56,9,14,8,1,7,2,9,2,8,1,977,10149,168,631,1004,60761
2020-03-11,3,53,48,1489,167,25,37,10,206,85,56,9,34,NA,1,27,1,18,6,21,17,2313,12462,196,827,1045,73154
2020-03-12,7,80,79,1445,361,30,29,41,208,113,44,18,50,46,NA,25,NA,27,14,32,2,2651,15113,189,1016,1258,86011
2020-03-13,1,71,260,1095,211,56,21,90,316,133,106,12,77,5,1,41,2,25,5,15,4,2547,17660,250,1266,1439,97488
2020-03-14,14,118,33,1865,342,43,48,44,381,174,160,31,80,23,NA,52,NA,37,22,26,4,3497,21157,175,1441,1966,109170
