"date","incheon","seoul","gyeonggi","gangwon","gyeongbuk","daegu","gyeongnam","busan","ulsan","chungbuk","sejong","daejeon","chungnam","jeonbuk","gwangju","jeonnam","jeju","quarantine_station","confirmed_new","confirmed_total","death_new","death_total","tested_total","tested_current","discharged_total"
2020-01-20,"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","4","0","0"
2020-01-24,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","27","0","0"
2020-01-26,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","51","1","0"
2020-01-27,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","61","1","0"
2020-01-30,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","244","41","0"
2020-01-30,"0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","0","0","0","0","0"
2020-01-31,"0","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","4","11","0","0","0","0","0"
2020-02-01,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","0","0","371","70","0"
2020-02-02,"0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","15","0","0","429","87","0"
2020-02-04,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","16","0","0","607","129","0"
2020-02-05,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","18","0","0","714","174","0"
2020-02-06,"0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","23","0","0","885","169","0"
2020-02-07,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","24","0","0","1130","264","2"
2020-02-09,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","25","0","0","2340","960","2"
2020-02-09,"0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","27","0","0","2598","888","3"
2020-02-11,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","28","0","0","3629","865","4"
2020-02-16,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","29","0","0","7919","408","9"
2020-02-17,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","30","0","0","8171","577","9"
2020-02-18,"0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","31","0","0","9265","957","10"
2020-02-19,"0","2","0","0","3","10","0","0","0","0","0","0","0","0","0","0","0","0","15","46","0","0","10411","1030","12"
2020-02-19,"0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","51","0","0","11173","1149","16"
2020-02-20,"0","1","0","0","8","22","0","0","0","0","0","0","0","0","0","0","0","0","31","82","0","0","12161","1633","16"
2020-02-20,"0","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","22","104","1","1","13202","1860","16"
2020-02-21,"0","3","1","0","0","38","2","0","0","1","0","0","1","1","1","0","1","0","52","156","1","2","14816","2707","16"
2020-02-21,"0","2","1","0","0","42","2","0","0","0","0","0","0","0","1","0","0","0","48","204","0","2","16400","3180","17"
2020-02-22,"0","0","2","0","103","28","0","2","0","2","1","1","0","1","1","0","1","0","142","346","0","2","19621","5481","17"
2020-02-22,"0","3","4","5","14","55","0","1","1","0","0","1","0","0","2","1","0","0","87","433","0","2","21586","6037","18"
2020-02-23,"0","0","2","0"," 20","93","4","2","0","0","0","0","0","0","1","0","1","0","123","556","2","4","22633","6039","18"
2020-02-23,"0","1","2","0","5","0","6","6","0","0","0","1","0","0","1","0","0","0","46","602","0","4","25577","8057","18"
2020-02-24,"0","3","10","0","0","131","3","2","0","0","0","0","0","0","1","0","0","0","161","763","3","7","27852","8725","18"
2020-02-24,"0","1","1","0","12","42","0","13","1","0","0","0","0","0","0","0","0","0","70","833","0","7","31923","11631","22"
2020-02-25,"0","2","5","0","0","16","1","3","0","0","0","0","0","0","0","0","0","0","60","893","1","8","36716","13273","22"
2020-02-25,"0","4","2","0","0","44","2","5","1","1","0","0","1","0","0","0","0","0","84","977","2","10","40304","13880","22"
2020-02-26,"1","4","0","0","19","134","2","8","0","0","0","0","0","0","0","0","0","0","169","1146","1","11","46127","16734","22"
2020-02-26,"0","4","8","0","49","0","9","8","1","0","0","2","1","0","0","0","0","0","115","1261","1","12","53553","20716","24"
2020-02-27,"0","6","4","0","4","307","2","0","0","2","0","3","4","0","0","0","0","0","334","1595","0","12","57990","21097","24"
2020-02-27,"0","1","7","0","24","0","7","3","5","1","0","1","5","2","0","0","0","0","171","1766","1","13","66652","25568","26"
2020-02-28,"1","6","4","0","49","182","3","2","0","1","0","4","4","0","0","0","0","0","256","2022","0","13","70940","24751","26"
2020-02-28,"0","0","6","1","15","265","3","2","3","0","0","1","19","0","0","0","0","0","315","2337","0","13","81167","30237","27"
2020-02-29,"2","12","4","0","60","0","10","12","3","1","0","0","13","0","0","2","0","0","594","2931","3","16","85963","29154","27"
2020-02-29,"0","3","6","0","19","181","0","3","0","0","0","0","7","0","0","0","0","0","219","3150","1","17","94055","35182","28"
2020-03-01,"0","5","2","0","26","333","3","1","0","1","0","0","5","0","0","0","0","0","376","3526","0","17","96985","32422","30"
2020-03-01,"0","5","5","8","41","0","1","2","3","0","0","0","8","1","0","0","0","0","210","3736","1","18","98921","33360","30"
2020-03-01,"1","4","3","4","68","377","1","5","0","0","0","1","10","0","0","2","0","0","476","4212","4","22","109591","33799","31"
2020-03-02,"0","7","2","1","61","519","0","2","0","1","0","0","3","1","2","0","1","0","600","4812","6","28","125851","35555","34"
2020-03-03,"2","1","7","1","89","405","1","3","3","0","0","1","1","0","2","0","0","0","516","5328","4","32","136707","28414","41"
2020-03-04,"0","4","9","2","87","320","9","0","0","1","0","1","4","0","1","0","1","0","438","5766","3","35","146541","21810","88"
2020-03-05,"0","2","10","2","123","367","3","3","0","3","0","2","4","0","0","0","0","0","518","6284","7","42","164740","21832","108"
2020-03-06,"0","3","10","0","65","390","5","1","0","5","1","0","2","0","0","0","0","0","483","6767","2","44","178189","19620","118"
2020-03-07,"0","12","11","1","32","297","1","1","1","4","6","1","0","0","0","0","0","0","367","7134","6","50","188518","19376","130"
2020-03-08,"0","10","11","1","26","190","0","0","0","1","4","3","1","0","2","0","0","0","248","7382","1","51","196618","17458","166"
2020-03-09,"4","11","11","0","10","0","0","0","0","0","2","2","0","0","0","0","0","0","131","7513","3","54","210144","18452","247"
2020-03-10,"12","52","12","1","18","0","1","2","1","2","2","0","8","0","0","0","0","0","242","7755","6","60","222395","18540","288"
2020-03-11,"0","19","3","0","0","0","1","1","0","0","5","2","2","0","0","0","0","0","114","7869","6","66","234998","17727","333"
2020-03-12,"2","13","0","0","4","61","0","1","2","0","17","2","1","0","0","0","0","0","110","7979","1","67","248647","17940","510"
2020-03-13,"1","13","0","0","0","0","0","3","0","1","6","0","0","0","0","0","0","0","107","8086","5","72","261335","17634","714"
2020-03-14,"2","9","11","0","4","0","0","0","1","3","1","0","0","0","1","0","0","0","76","8162","3","75","268212","16272","834"
2020-03-15,"0","6","20","0","7","35","0","1","0","0","1","0","0","0","0","0","0","4","74","8236","0","75","274504","14971","1137"
2020-03-16,"1","12","31","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","84","8320","6","81","286716","17291","1401"
2020-03-17,"1","5","15","1","0","0","0","0","2","1","1","0","3","2","1","1","0","5","93","8413","3","84","295647","16346","1540"
2020-03-18,"0","12","18","0","12","0","0","0","6","1","0","0","0","1","0","0","0","5","152","8565","7","91","307024","15904","1947"
2020-03-19,"4","17","14","0","0","0","1","1","0","0","0","0","1","0","1","0","0","1","87","8652","3","94","316664","15525","2233"
2020-03-20,"4","15","12","0","0","0","0","0","0","1","0","0","0","0","0","0","0","6","147","8799","8","102","327509","15704","2612"
2020-03-21,"0","10","16","0","11","0","1","0","0","1","0","2","1","0","1","1","0","11","98","8897","2","104","331780","14540","2909"
2020-03-22,"0","6","14","0","2","0","1","1","0","2","1","0","0","0","0","0","0","13","64","8961","7","111","338036","13628","3166"
2020-03-23,"1","4","0","0","0","0","1","2","0","1","0","0","0","0","0","0","0","20","76","9037","9","120","348582","15440","3507"
2020-03-24,"1","13","21","1","0","0","0","1","1","0","2","0","3","0","0","2","2","34","100","9137","6","126","357896","14278","3730"
2020-03-25,"1","13","14","0","0","0","0","0","0","1","0","6","1","0","0","0","0","30","104","9241","5","131","364942","14369","4144"
2020-03-26,"3","12","11","0","0","0","1","1","2","2","0","1","0","0","1","0","1","13","91","9332","8","139","376961","15219","4528"
2020-03-27,"5","18","0","1","0","0","0","1","0","0","0","0","2","0","0","0","1","24","146","9478","5","144","387925","16564","4811"
2020-03-28,"7","20","15","2","0","0","3","0","0","0","2","3","1","2","0","1","0","21","105","9583","8","152","394141","15028","5033"
2020-03-29,"0","16","15","2","0","0","1","1","0","3","0","0","0","1","0","0","1","13","78","9661","6","158","395194","13531","5228"
2020-03-30,"6","24","0","0","2","0","1","1","0","0","0","2","1","0","0","0","0","15","125","9786","4","162","410564","16892","5408"
2020-03-31,"5","24","23","2","0","0","4","3","0","1","0","0","3","1","4","3","0","7","101","9887","3","165","421547","16585","5567"
2020-04-01,"4","14","17","1","0","0","6","0","1","0","0","0","2","0","1","2","0","18","89","9976","4","169","431743","17885","5828"
2020-04-02,"1","18","23","2","0","0","1","0","0","1","0","0","1","1","1","1","0","22","86","10062","5","174","443273","18908","6021"
2020-04-03,"3","22","23","1","0","0","1","0","0","0","0","0","1","0","0","0","0","15","94","10156","3","177","455032","20144","6325"
2020-04-04,"2","24","0","3","4","0","1","0","0","0","0","1","0","1","1","0","3","24","81","10237","6","183","461233","19571","6463"
2020-04-05,"1","11","8","0","0","0","2","0","0","0","0","2","1","0","0","0","0","7","47","10284","3","186","466804","19295","6598"
2020-04-06,"0","4","10","2","0","0","1","1","0","0","0","0","1","0","0","0","0","14","47","10331","6","192","477304","20650","6694"
2020-04-07,"4","0","0","2","3","0","1","2","0","0","0","0","0","1","0","0","0","14","53","10384","8","200","486003","17858","6776"
2020-04-08,"0","12","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","10","39","10423","4","204","494711","15509","6973"
2020-04-09,"1","5","9","0","0","0","0","1","0","0","0","0","0","0","0","0","0","4","27","10450","4","208","503051","15298","7117"
2020-04-10,"0","4","9","0","3","7","0","0","1","0","0","0","0","0","0","0","0","6","30","10480","3","211","510479","14070","7243"
2020-04-11,"1","3","4","0","3","2","0","0","0","0","0","0","1","0","0","0","0","18","32","10512","3","214","514621","13788","7368"
2020-04-12,"1","8","3","0","4","3","0","0","0","0","0","0","0","0","0","0","0","6","25","10537","3","217","518743","13391","7447"
2020-04-13,"1","2","8","0","5","3","0","0","1","0","0","0","0","0","0","0","0","7","27","10564","5","222","527438","14651","7534"
2020-04-14,"0","5","6","2","6","1","0","1","0","0","0","0","0","0","1","0","1","4","27","10591","3","225","534552","15026","7616"
